,mean,std,min,max
binary_accuracy,0.8382355481965158,0.040398854477292655,0.7956298200514139,0.9097449313276651
binary_macro_f1,0.8123756532081264,0.05135936121552505,0.7613123939960522,0.8940178409981314
binary_balanced_accuracy,0.8237375112458254,0.04379117969628906,0.7648169482846903,0.8807442895857529
binary_mcc,0.6363588333823683,0.10179704396667263,0.546790926065065,0.7928431338229389
subtype_accuracy,0.4285627181527628,0.046949547622984256,0.35605170387779084,0.47678221059516024
subtype_macro_f1,0.25629386668039994,0.05034220914035952,0.18186476964851261,0.3027741902712221
subtype_weighted_f1,0.4202048282318316,0.054046084000605614,0.3550865305463438,0.48437904750588157
subtype_balanced_accuracy,0.3050170865859913,0.05801555213200043,0.23081430264296945,0.3747586781008368
subtype_mcc,0.25648910391295965,0.05700753956009719,0.17262756753760392,0.3226986008254814
