Model Family,Architecture Variant,Dataset Scope,Evaluation Protocol,Binary Accuracy (%),Binary Macro-F1 (%),Sensitivity / Recall (%),Specificity (%),ROC-AUC,PR-AUC,Subtype Weighted-F1 (%),Subtype Macro-F1 (%),MCC
OMNet-V2,EfficientNet-B0 (Single CNN),BreakHis 200X (2013 imgs),Patient-Disjoint Test (N=280),81.79,87.94 (Bin F1),94.90,51.19,0.8712,0.9356,N/A,N/A,0.5391
OMNet-V2,ViT-B/16 (Single Transformer),BreakHis 200X (2013 imgs),Patient-Disjoint Test (N=280),84.29,89.67 (Bin F1),97.45,53.57,0.8998,0.9488,N/A,N/A,0.6105
OMNet-V2,Soft-Voting Ensemble (CNN+ViT),BreakHis 200X (2013 imgs),Patient-Disjoint Test (N=280),84.29,89.57 (Bin F1),96.43,55.95,0.8973,0.9537,N/A,N/A,0.6084
OMNet-V3 (Normalized Family),Dual-Branch MAF (EffNet+ViT-Tiny),BreakHis Multi-Scale (7909 imgs),5-Fold Stratified Group CV,84.56 +- 2.48,80.32 +- 3.13,N/A (Multi-Scale),N/A,0.88+ (OvR),N/A,44.75 +- 5.89,23.45 +- 4.30,0.6175 +- 0.05
OMNet-V3 (Local Provenance),Dual-Branch MAF (Local ROCm Run),BreakHis Multi-Scale (7909 imgs),5-Fold Stratified Group CV,83.82 +- 4.04,81.24 +- 5.14,N/A (Multi-Scale),N/A,0.88+ (OvR),N/A,42.02 +- 5.40,25.63 +- 5.03,0.6364 +- 0.10
